"L101_volume","L102_volume","L103_volume","L104_volume","L106_volume","L107_volume","L108_volume","L101_occupancy","L102_occupancy","L103_occupancy","L104_occupancy","L106_occupancy","L107_occupancy","L108_occupancy","DAY","MIN.15.TIME"
318,486,498,319,684,410,381,90.56,82.601,64.966,100,32.247,16.538,22.008,3,64
451,469,470,258,662,381,374,57.525,27.365,35.79,100,28.508,37.836,19.175,3,65
494,508,483,348,651,399,353,71.857,19.215,37.916,96.142,27.72,41.854,14.885,3,66
454,530,466,351.110000000001,642,386,344,73.077,34.451,37.443,99.174,25.318,18.78,14.214,3,67
493,479,483,296,641,399,356,61.817,27.72,43.153,97.875,29.333,14.923,14.489,3,68
470,470,450,287,642,405,369,30.515,58.272,33.231,100,24.805,14.291,24.805,3,69
454,485,432,321,633,396,337,19.214,40.043,38.941,100,29.176,18.309,22.68,3,70
487,461,440,302,599,380,380,23.505,57.169,38.43,100,26.931,18.031,31.419,3,71
502,483,536,301,610,387,403,23.309,61.028,69.02,98.15,47.444,31.104,33.862,3,72
511,446,658,315,588,368,397,30.161,97.285,57.249,94.726,33.388,25.12,31.657,3,73
472,437,592,264,623,370,345,55.832,99.411,37.051,100,31.105,46.933,23.111,3,74
520,437,443,238,616,408,378,24.805,97.404,56.538,100,39.256,20.512,49.767,3,75
502,447,619,279,606,371,472,29.135,97.561,79.572,100,39.334,54.532,58.232,3,76
510,479,639,272,607,354,527,35.24,97.681,79.571,99.765,36.498,97.287,49.728,3,77
514,466,589,277,566,387,406,37.484,95.595,84.18,100,63.547,66.736,40.949,3,78
495,455,354,303,467,408,411,45.792,97.602,69.101,100,85.753,17.718,38.074,3,79
460,373,347,253,448,336,334,50.988,88.546,57.17,90.039,59.847,12.285,23.231,3,80
519,427,421,208,557,354,383,40.633,91.853,61.855,100,51.971,11.853,44.689,3,81
548,417,383,237,618,419,373,35.672,99.333,61.58,100,33.429,18.979,26.735,3,82
530,425,445,309,631,381,394,47.051,96.026,40.593,97.048,23.466,13.585,35.633,3,83
472,474,465,304,678,431,402,65.085,59.453,79.373,99.411,26.498,16.577,31.183,3,84
559,469,521,382,643,433,382,58.941,22.679,72.759,77.798,24.451,21.811,37.128,3,85
469,506,649,425,643,431,399,58.272,22.245,57.248,69.217,27.681,18.152,31.971,3,86
523,495,458,452,596,429,369,50.831,25.946,35.789,57.681,20.868,16.852,23.19,3,87
404,465,447,435,599,405,326,50.635,27.796,17.719,57.484,22.364,14.451,15.63,3,88
623,471,442,472,602,427,351,39.451,20.278,21.812,51.776,21.617,32.363,23.584,3,89
609,468,410,432,597,378,466,31.578,20.122,36.734,51.184,22.875,13.663,38.389,3,90
575,441,395,449,537,414,463,36.54,20.553,30.869,57.092,22.049,18.701,20.159,3,91
366,471,384,401,562,422,442,11.379,19.371,25.633,46.185,19.371,17.952,24.41,3,92
427,430,422,384,553,338,391,17.482,14.844,25.12,44.609,19.174,8.228,23.27,3,93
650,371,414,410,556,347,469,49.098,10.946,33.821,33.742,23.309,8.149,22.206,3,94
491,337,387,351,505,305,400,29.845,9.804,23.349,25.042,16.379,6.653,14.45,3,95
536,340,376,363,458,319,368,42.72,9.686,12.087,26.419,13.583,7.755,11.064,3,96
583,309,332,333,439,279,221,41.423,12.127,11.969,26.733,13.152,5.669,8.701,4,97
429,298,302,304,412,265,250,15.356,9.213,7.558,24.805,10.906,5.079,8.268,4,98
337,307,285,353,396,287,217,7.679,7.401,7.479,21.262,10.671,5.434,5.473,4,99
306,255,236,308,335,249,180,6.142,6.026,5.787,19.767,9.449,4.96,4.135,4,100
336,246,262,294,364,242,190,6.93,5.55,6.221,19.175,10.001,4.882,4.605,4,101
212,222,191,260,293,197,164,4.014,4.959,4.488,16.025,7.598,3.58,3.779,4,102
214,209,226,212,317,169,151,4.291,4.606,5.237,14.449,8.78,3.583,3.228,4,103
200,198,206,243,291,168,128,3.543,4.173,5.079,13.897,8.937,2.912,2.795,4,104
187,170,204,189,267,147,126,3.662,3.464,4.527,11.457,7.678,2.441,2.677,4,105
144,160,152,193,202,143,95,2.637,3.542,3.15,11.064,5.276,2.676,1.888,4,106
137,184,140,216,208,155,100,2.362,3.622,2.913,11.891,5.118,2.795,2.048,4,107
112,117,108,153,156,116,71,1.849,2.321,2.085,9.212,3.663,1.927,1.457,4,108
110,113,112,148,161,125,83,1.889,2.166,2.441,8.819,4.056,2.166,1.612,4,109
120,117,116,122,184,72,76,2.047,2.127,2.361,6.18,4.605,1.064,1.653,4,110
98,125,111,154,154,116,74,1.495,2.52,2.165,8.82,3.621,1.889,1.574,4,111
107,110,100,126,165,99,69,1.809,2.285,2.205,7.285,4.291,1.73,1.457,4,112
103,91,101,110,136,79,53,1.612,1.889,2.125,6.574,3.11,1.377,0.982,4,113
103,118,112,128,174,91,79,1.612,2.56,2.322,6.931,4.449,1.494,1.575,4,114
127,131,131,152,195,94,81,2.206,3.15,2.758,10.433,5.079,2.006,1.653,4,115
119,144,119,154,166,102,75,2.007,3.78,2.44,10.789,4.489,2.086,1.534,4,116
136,156,135,203,199,133,91,2.322,3.937,3.819,17.442,5.394,3.188,1.85,4,117
157,227,188,249,284,173,127,2.915,5.709,14.016,19.53,8.386,3.74,3.228,4,118
245,282,252,320,346,205,182,4.605,9.724,8.82,30.712,9.566,4.566,4.607,4,119
293,297,312,350,424,230,267,6.693,7.482,8.821,32.404,14.923,5.434,7.441,4,120
311,333,359,316,477,277,292,7.953,16.181,12.521,44.333,16.459,6.811,12.284,4,121
373,392,402,290,509,330,316,10.749,41.618,16.222,89.885,21.144,8.899,14.45,4,122
413,336,416,198,451,374,327,11.968,94.649,13.98,100,30.947,10.552,36.104,4,123
413,371,415,250,554,326,301,15.355,62.56,24.451,90.079,25.947,9.29,73.077,4,124
522,368,532,207,600,381,427,35.395,56.657,26.104,100,46.341,10.788,36.342,4,125
496,403,572,295,596,372,399,63.352,80.398,34.806,98.465,50.201,14.687,14.885,4,126
479,416,522,267,672,281,379,75.281,61.895,17.442,100,27.404,82.84,32.481,4,127
443,427,483,421,624,331,410,81.896,85.439,15.003,90.751,31.419,81.146,60.515,4,128
490,435,515,408,648,383,464,72.367,53.35,20.592,62.129,40.238,77.445,52.011,4,129
464,448,522,417,587,299,462,76.975,26.655,23.229,66.657,41.225,93.231,22.797,4,130
268,450,511,411,648,258,339,95.83,31.302,23.387,74.807,34.924,95.711,15.907,4,131
412,444,499,443,662,225,340,82.133,35.199,26.343,60.201,34.216,98.938,24.804,4,132
481,455,271,375,652,259,323,74.22,37.758,56.578,67.995,39.412,95.398,17.441,4,133
458,426,497,252,648,348,314,57.839,60.24,26.302,100,31.144,88.587,17.048,4,134
463,453,466,258,572,334,359,33.506,76.501,19.843,100,36.934,77.919,18.544,4,135
477,441,456,313,641,326,364,24.805,60.201,44.531,99.489,42.758,71.936,20.631,4,136
427,402,443,215,602,315,373,42.759,66.419,72.446,100,40.827,81.933,19.096,4,137
423,403,513,261,638,242,302,70.675,99.373,31.302,100,32.719,76.146,24.647,4,138
427,438,412,251,578,364,333,66.738,94.61,19.686,100,25.159,71.028,64.888,4,139
413,430,447,292,651,424,366,69.256,59.727,55.24,100,30.709,56.382,60.282,4,140
413,463,477,263,652,355,359,67.88,47.523,63.037,100,40.317,66.069,28.546,4,141
446,486,522,251,722,423,346,72.684,63.113,61.461,100,31.419,29.528,33.782,4,142
368,440,461,250,666,404,395,72.251,60.634,43.941,100,30.948,15.474,39.649,4,143
429,486,237,372,634,387,344,70.873,23.781,70.752,90.987,27.837,28.269,29.294,4,144
461,497,410,414,571,373,362,73.667,19.568,68.116,89.256,37.051,15.787,50.082,4,145
377,503,555,302,577,399,346,85.911,17.875,62.761,96.223,45.595,14.608,66.107,4,146
353,494,687,348,630,411,330,82.801,20.632,38.508,95.79,36.145,13.151,61.186,4,147
370,397,661,219,706,378,384,79.256,92.364,61.777,100,33.626,14.213,33.349,4,148
399,414,636,241,676,371,339,82.88,84.533,63.075,100,32.443,17.207,26.301,4,149
379,405,542,235,573,370,308,72.799,41.658,62.955,90.118,21.773,26.34,14.922,4,150
472,402,610,270,663,396,375,69.494,40.594,70.674,100,28.114,14.568,20.592,4,151
409,463,680,294,652,403,338,79.928,61.695,59.414,100,30.317,26.499,24.924,4,152
446,484,624,319,616,414,275,73.706,38.822,55.043,98.86,22.956,25.237,12.913,4,153
466,544,407,359,622,350,350,66.266,18.192,46.735,89.373,34.806,71.973,16.734,4,154
526,476,455,401,590,293,339,68.667,18.112,51.893,72.76,47.836,86.462,14.608,4,155
471,524,517,488,662,315,345,74.848,20.711,36.579,57.84,26.499,91.578,20.867,4,156
507,509,433,443,656,292,350,60.556,18.544,44.019,59.767,35.081,99.57,21.221,4,157
497,482,438,468,680,310,338,77.565,16.537,47.209,59.61,26.065,91.186,24.963,4,158
482,458,430,423,509,327,352,62.288,19.647,47.248,73.271,40.986,96.423,21.498,4,159
463,501,442,420,529,273,330,36.065,25.318,40.712,69.178,48.823,93.747,30.553,4,160
433,485,421,458.110000000001,432,389,351,45.358,17.639,31.773,56.579,56.224,54.61,29.452,4,161
476,509,453,468,349,403,336,43.509,18.23,49.059,60.556,57.485,20.984,24.057,4,162
449,447,418,477.110000000001,383,355,336,77.052,25.907,22.403,51.933,52.366,16.536,17.362,4,163
485,470,476,444,422,321,335,22.639,26.459,33.349,47.956,47.878,38.309,23.743,4,164
435,471,457,453,402,362,352,23.467,45.397,34.137,67.525,49.451,91.5,24.137,4,165
483,497,406,451,271,351,369,19.686,35.79,33.707,72.8,65.752,91.976,28.861,4,166
448,466,455,402,551,302,378,16.734,29.49,33.154,65.437,37.365,90.358,77.251,4,167
446,451,411,417,550,339,502,31.223,30.435,27.128,55.123,26.457,70.084,51.933,4,168
392,479,427,437,590,371,384,56.895,28.31,38.666,65.083,36.616,80.596,67.012,4,169
464,426,425,394,417,382,454,38.192,20.395,27.917,47.328,41.459,23.861,58.784,4,170
327,500,489,462.220000000001,447,415,531,84.769,17.955,45.674,69.887,51.697,18.546,51.893,4,171
413,527,486,461,558,221,582,77.167,21.42,45.517,65.988,50.948,97.245,73.47,4,172
493,460,418,298,581,241,559,47.797,58.153,72.564,93.269,25.711,97.523,44.926,4,173
475,427,504,274,576,291,311,33.585,85.164,36.539,99.41,30.829,92.722,20.671,4,174
340,512,448,305,493,424,340,75.399,39.256,35.199,98.191,43.195,84.18,24.922,4,175
376,494,437,417,621,406,378,57.839,32.325,32.285,70.042,28.703,43.233,27.326,4,176
419,516,453,487.110000000001,655,389,357,29.136,25.475,52.956,60.084,29.568,11.104,21.457,4,177
432,514,531,432,638,393,376,22.444,22.365,80.008,71.581,27.759,10.592,28.193,4,178
411,498,637,461.110000000001,562,419,284,46.184,20.671,31.616,72.525,28.546,12.639,19.371,4,179
384,482,412,488.110000000001,580,391,291,60.87,21.931,46.146,51.343,23.623,11.891,14.45,4,180
526,488,433,396,563,383,413,47.131,21.499,47.641,79.374,40.791,12.324,33.31,4,181
510,527,443,402,546,396,367,53.349,23.151,59.966,76.735,53.271,13.386,31.143,4,182
472,460,385,398,571,372,410,60.989,22.56,51.736,76.971,28.938,13.859,43.584,4,183
509,448,400,314,491,402,360,43.034,34.017,67.721,95.985,44.258,20.631,29.609,4,184
495,424,389,343,530,389,342,31.618,15.434,42.247,73.706,35.632,15.592,75.203,4,185
494,478,400,347,557,371,392,31.303,23.586,61.186,78.429,31.065,12.836,37.757,4,186
470,453,364,398,493,368,435,28.034,23.467,24.49,49.65,25.514,15.632,27.088,4,187
397,409,430,387,520,384,291,16.695,22.638,34.529,66.382,24.688,15.434,15.395,4,188
439,386,389,382,508,348,287,21.616,15.316,29.845,48.861,21.971,10.079,12.205,4,189
407,352,357,361,475,335,345,17.599,10.908,23.31,29.766,19.016,9.017,14.332,4,190
431,354,491,361,460,291,273,15.908,11.93,20.04,31.302,16.932,7.007,13.031,4,191
373,356,335,410,436,291,254,12.363,11.891,13.979,36.065,16.733,7.047,9.962,4,192
344,341,291,350,429,335,252,10.631,11.773,24.017,31.499,17.128,8.701,10.945,5,193
288,286,305,281,437,267,261,8.426,10.157,10.866,24.647,17.796,6.024,7.796,5,194
292,279,315,275,411,275,230,7.404,8.821,11.22,21.734,15.867,6.457,7.284,5,195
285,273,326,303,385,253,203,6.614,8.23,11.3,21.538,12.244,5.354,5.158,5,196
250,242,275,246,385,250,177,5.905,7.795,7.286,19.096,11.299,5.276,4.095,5,197
250,222,264,256,323,206,180,5.788,6.458,6.419,17.127,10.986,4.016,4.527,5,198
227,222,233,252,296,175,144,4.526,4.804,6.811,15.514,10.079,3.426,3.229,5,199
195,202,206,213,192,175,142,4.371,4.645,4.764,12.008,35.238,3.267,3.19,5,200
178,191,196,225,259,181,119,3.819,5.197,4.96,13.782,7.835,3.465,2.597,5,201
190,170,174,199,204,163,105,4.092,3.738,4.409,12.719,16.891,3.308,2.362,5,202
167,159,180,187,243,152,119,3.702,3.623,4.803,11.614,21.341,2.599,2.872,5,203
155,170,163,176,209,140,122,3.309,3.544,3.976,10.79,21.342,2.44,2.716,5,204
125,112,130,151,168,114,100,2.323,2.402,3.268,9.568,21.929,2.164,2.401,5,205
126,122,111,122,164,100,67,2.52,2.44,2.598,7.796,4.803,1.731,1.375,5,206
112,136,104,145,141,109,79,2.283,3.031,2.401,8.701,15.789,1.968,1.771,5,207
113,126,110,149,136,114,72,2.046,3.031,2.481,9.332,28.151,2.047,1.417,5,208
114,116,108,125,140,84,77,2.085,2.558,2.401,8.307,26.498,1.575,1.574,5,209
114,110,113,135,132,84,70,2.006,2.323,2.363,7.915,25.632,1.612,1.536,5,210
109,110,113,128,144,94,66,1.89,2.439,2.44,7.993,32.128,1.811,1.377,5,211
120,108,139,117,197,74,86,2.244,2.638,3.229,8.385,22.639,1.297,1.929,5,212
139,173,145,189,179,138,92,2.519,5,3.149,15.354,19.884,3.385,1.928,5,213
177,186,186,211,233,144,137,3.622,4.647,4.723,14.411,23.15,3.031,4.173,5,214
255,249,275,249,371,147,206,5.63,6.732,6.811,18.269,10.986,3.426,5.984,5,215
282,279,312,317,447,220,263,6.259,7.441,8.781,37.876,15.868,5.355,8.742,5,216
336,368,366,314,442,273,269,9.765,14.569,14.607,49.491,19.806,8.78,12.836,5,217
342,415,366,318,444,370,325,9.844,19.136,14.844,72.958,16.025,10.317,28.584,5,218
421,411,411,263,524,376,271,12.995,24.923,23.82,89.766,19.452,10.945,80.086,5,219
490,400,464,340,520,336,309,19.805,18.032,25.593,57.286,29.333,9.606,84.139,5,220
509,353,488,167,618,370,423,31.497,62.758,46.421,100,40.949,10.158,69.651,5,221
515,379,525,267,558,363,523,49.887,90.356,51.894,100,70.635,12.56,55.28,5,222
484,394,502,236,579,396,387,65.831,69.255,60.046,100,49.256,22.247,19.213,5,223
402,423,491,298,621,345,404,83.823,39.609,34.451,98.308,30.081,53.547,24.726,5,224
441,442,483,398,482,338,390,79.654,31.301,39.686,72.326,45.437,53.233,24.253,5,225
418,440,482,411.110000000001,633,327,408,88.47,44.885,41.894,75.358,39.333,65.908,33.979,5,226
459,458,468,335,613,293,384,80.715,31.578,31.854,91.655,28.388,97.758,61.462,5,227
391,477,453,265,614,264,565,89.81,57.603,38.272,99.607,36.263,91.341,51.108,5,228
310,361,485,230,625,366,374,94.728,88.902,45.792,100,39.608,64.098,18.585,5,229
399,358,451,265,660,328,335,79.573,99.292,31.381,100,29.924,22.875,18.899,5,230
438,380,421,270,577,373,348,77.959,97.247,26.182,100,28.546,13.544,22.639,5,231
430,348,341,250,591,340,424,48.862,100,95.358,100,40.555,12.521,50.24,5,232
349,348,403,234,594,349,361,75.597,99.331,82.645,100,34.412,10.276,30.554,5,233
402,377,617,236,457,352,369,66.068,99.646,47.524,100,52.839,12.008,50.987,5,234
351,433,459,242,628,375,334,82.681,97.561,86.894,100,35.552,16.852,58.311,5,235
365,387,441,243,411,356,362,89.177,99.687,80.985,100,64.296,61.341,50.831,5,236
336,366,369,206,380,331,408,86.144,98.466,65.714,100,78.077,52.327,58.074,5,237
379,370,372,203,524,236,357,81.186,99.411,74.337,100,57.761,92.444,54.689,5,238
433,429,360,229,447,350,324,70.282,98.977,72.684,100,80.475,65.516,40.121,5,239
399,432,444,240,428,410,367,76.736,96.777,70.204,100,91.382,42.249,33.821,5,240
402,379,485,213,434,387,368,75.281,100,58.153,100,89.453,13.899,21.694,5,241
408,341,434,183,463,333,361,76.578,99.922,76.618,100,83.509,12.993,36.696,5,242
360,351,432,202,596,356,361,78.626,100,71.069,100,41.54,12.56,34.096,5,243
389,364,386,188,638,386,410,80.281,99.922,71.58,100,39.333,20.631,50.988,5,244
435,379,382,226,563,372,348,74.532,100,71.658,100,44.059,26.931,24.292,5,245
421,372,454,218,613,392,367,78.274,98.626,42.799,100,40.555,14.173,46.224,5,246
493,369,402,223,557,405,345,70.595,98.111,73.232,100,51.737,14.018,34.607,5,247
399,389,363,217,422,397,341,83.904,100,80.514,100,65.162,19.136,21.693,5,248
426,377,403,211,496,421,324,80.99,98.426,67.131,100,64.178,21.3,44.333,5,249
489,436,450,248,579,457,367,72.683,69.453,57.052,100,43.112,24.649,28.192,5,250
356,450,413,325,474,367,314,78.743,24.845,52.011,90.039,48.981,50.594,24.017,5,251
467,489,454,334,630,420,403,76.659,24.097,43.231,90.946,38.191,68.114,53.744,5,252
471,483,398,357,577,440,363,74.416,17.284,61.975,88.743,51.854,25.475,27.995,5,253
350,458,415,281,475,394,320,87.641,41.222,60.95,100,70.99,12.521,21.852,5,254
357,405,433,260,308,411,372,86.816,99.137,63.981,100,75.318,34.807,67.012,5,255
483,427,488,280,488,433,356,73.785,99.411,54.769,100,46.264,28.822,23.229,5,256
437,419,458,282,502,444,338,79.729,93.231,33.349,98.505,34.451,29.018,31.459,5,257
400,391,460,251,412,440,328,78.941,91.501,34.529,100,45.515,24.962,17.166,5,258
329,437,411,246,507,395,305,74.254,55.318,31.773,90.079,24.963,18.347,14.843,5,259
366,534,470,381,676,438,357,77.446,26.182,38.074,92.089,27.208,12.758,29.53,5,260
240,441,413,337,450,366,286,81.03,18.506,15.551,64.373,32.207,11.535,19.804,5,261
377,535,446,403,616,348,341,74.179,19.568,22.678,75.122,26.497,78.353,23.821,5,262
319,453,447,476.110000000001,491,317,318,89.453,13.86,28.663,52.485,40.199,89.335,23.033,5,263
269,325,421,375,483,340,418,89.807,7.361,26.222,28.309,48.941,36.301,33.941,5,264
214,317,431,373,480,330,348,91.618,7.676,35.593,35.473,40.633,7.559,24.962,5,265
150,318,428,384,577,319,373,99.843,8.426,23.703,36.972,25.474,7.599,60.791,5,266
195,318,464,365,597,341,439,97.757,8.503,44.137,33.742,37.05,8.82,50.32,5,267
217,361,379,391,596,328,464,97.482,9.845,59.414,41.027,28.27,8.466,42.918,5,268
42,373,249,408,399,341,386,12.875,13.819,85.201,40.082,72.407,9.136,46.146,5,269
315.664340711369,360,186,356,420,295,346,36.2517150087779,9.529,98.347,28.782,70.831,8.899,26.537,5,270
433.537037037037,330,179,361,464,317,338,54.013987654321,29.136,95.79,30.396,73.625,7.006,17.72,5,271
436.376543209877,280,398,343,594,317,313,50.9281481481481,17.757,59.179,34.097,31.34,10.71,15.082,5,272
450.543209876543,269,324,336,736,267,280,54.4796851851852,10.199,16.144,31.145,30.358,9.49,10.316,5,273
488.771596917781,255,306,347,711,291,369,57.13952046017,6.89,13.033,31.932,25.71,6.537,22.916,5,274
554,272,291,351,678,305,280,56.973,7.677,13.663,36.931,24.806,7.796,12.481,5,275
0,281,291,362,664,286,279,88.512,7.52,8.503,33.192,24.292,6.812,12.127,5,276
417.511660297732,298,367,397,700,298,299,60.5000509534645,10.907,19.095,39.609,30.237,6.497,17.56,5,277
446.41975308642,287,451,370,690,293,272,54.8448580246914,23.701,20.356,33.939,24.724,7.322,10.119,5,278
395.960455223216,367,336,360,695,342,272,51.4128077313549,12.718,11.261,55.24,25.671,8.82,12.561,5,279
244,436,342,361,725,347,325,62.841,13.898,16.615,64.926,26.419,8.151,15.001,5,280
227,425,360,385,778,401,311,60.989,11.338,16.734,62.485,28.979,10.591,19.215,5,281
307,383,409,387,772,342,340,54.177,10.788,27.443,40.593,31.774,8.032,17.796,5,282
272,373,395,388,734,367,366,87.605,10.394,20.278,48.665,30.238,8.305,23.034,5,283
301,385,419,384,579,321,292,87.487,9.487,68.745,36.538,20.159,7.52,50.003,5,284
308,499,389,392,540,399,320,51.027,17.443,29.057,63.154,18.702,10.748,14.881,5,285
294,418,369,339,535,339,330,16.97,13.387,42.364,63.155,18.033,8.742,23.152,5,286
301,360,352,330,473,337,271,30.749,16.617,28.664,55.949,17.481,6.733,22.875,5,287
243,352,367,315,500,289,281,38.31,11.064,42.8,39.295,16.97,5.629,18.82,5,288
231,388,319,370,446,362,270,43.232,13.033,20.119,57.996,14.803,7.875,10.907,6,289
336,319,371,353,510,332,291,8.229,9.371,18.114,33.154,15.671,6.535,13.976,6,290
288,383,333,374,416,338,230,6.85,9.883,12.205,32.758,17.088,7.086,6.22,6,291
309,311,352,372,439,291,262,23.465,8.819,14.804,25.513,12.875,5.748,7.52,6,292
177,307,293,323,389,231,222,49.139,8.072,14.294,22.758,17.56,4.487,5.944,6,293
319,300,274,303,391,270,229,15.828,9.055,16.97,23.348,10.671,5.236,5.828,6,294
192,216,235,241,315,223,168,26.065,5.551,5.708,15.316,8.622,4.409,3.899,6,295
151,214,253,250,345,208,176,42.09,5.276,5.827,17.952,12.363,3.937,4.054,6,296
181,233,223,257,294,213,147,23.939,6.773,4.842,14.411,8.701,3.819,3.308,6,297
157,169,184,185,246,153,130,18.034,3.504,4.054,10.551,9.331,2.757,2.755,6,298
104,214,182,238,244,168,126,46.46,4.331,4.053,14.016,8.072,4.134,2.756,6,299
91,148,152,187,232,156,113,32.641,2.795,7.284,10.317,5.708,2.637,2.519,6,300
